# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  3484
      148        26 -0.2809280464242299713
      148        33 0.15835240530275171422
      148        34 -0.27538049414580922925
      148        41 -0.00031391655734337785104
      148        42 -0.023749289708069734606
      148        45 -0.0011119258963232035286
      148        46 -0.013178248795229625251
      149         1 0.6500510380854566117
      149         2 0.072075061594188194469
      149         3 -0.12830455559935219356
      149         4 0.23127018325600529058
      149        19 -0.11506052212436745918
      149        20 -0.22137080751061471995
      149        27 -0.40231286278229394515
      149        28 -0.08197443733957879286
      150         1 0.067621228063934141206
      150         2 0.60655588807952975916
      150         3 -0.014275983213742992825
      150         4 -0.31597956446144670473
      150        19 -0.22137080751060064787
      150        20 -0.17471773094413667327
      150        27 0.16802556266040952204
      150        28 -0.11148549509450332573
      151        15 0.020208730079809916758
      151        16 -0.096314192781081595096
      151        17 0.36836969743597869353
      151        18 -0.15204621860611045037
      151        29 -0.030298198433435254845
      151        30 0.12119784059263155607
      151        31 -0.35621095128245272576
      151        32 0.12716257079456039225
      152        15 0.099495496807379305015
      152        16 -0.18299302405831835427
      152        17 -0.097855908194580260018
      152        18 0.37496509984480314026
      152        29 -0.1288021594073652798
      152        30 0.2280953632660202568
      152        31 0.12716257079456622092
      152        32 -0.41799816125260474964
      153        13 -0.041623319816585298281
      153        14 -0.08349732914458260491
      153        15 0.75410187726025879051
      153        16 -0.070161128329522939873
      153        17 0.14339372183560405993
      153        18 0.15070756970623369608
      153        25 -0.30237320367156639289
      153        26 0.14937492505171087731
      153        29 -0.34994383541018403427
      153        30 -0.12369212911088035833
      153        31 -0.19127716791274504415
      153        32 -0.022803231902737763209
      153        43 -0.0043914846300227650469
      153        44 7.2289370584615076656e-05
      153        49 -0.00011092911046278470643
      153        50 -9.6564080555952033697e-07
      154        13 0.052288713581305795719
      154        14 -0.19570562471581035013
      154        15 0.084280672439851544997
      154        16 0.72873837767157956247
      154        17 -0.13952027378902223664
      154        18 -0.093526260365236979499
      154        25 0.14937492505170221757
      154        26 -0.34263224514932888454
      154        29 -0.12369212911089545737
      154        30 -0.42297782454418270115
      154        31 -0.02280322997960036735
      154        32 0.33613403669014613184
      154        43 7.2265858354780238373e-05
      154        44 -0.0021993118300078278934
      154        49 -9.4405169610669237361e-07
      154        50 -5.5489212863151696328e-05
      155         5 -0.075618002019330818331
      155         6 -0.056085887736920220226
      155         7 0.80017662346541773566
      155         8 -0.12395143938559756436
      155         9 0.17812554466635568962
      155        10 0.16609234531207422991
      155        11 -0.02311692559042644729
      155        12 0.0026249741398148723238
      155        21 -0.1780258593839993686
      155        22 0.077280556831210212021
      155        33 -0.32756643401243207281
      155        34 -0.14579528056054902319
      155        35 -0.18395857325386882897
      155        36 0.073097971412618867326
