# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  2128
      148       178 -0.14615766337749935833
      149       145 -0.12179925985122815046
      149       146 0.18018513702403562982
      149       149 0.67446329527044368568
      149       150 0.072567784642754123992
      149       163 -0.13809123872886513995
      149       164 -0.19698723341070858983
      149       169 -0.41019969911090686798
      149       170 -0.055765688256081219487
      150       145 -0.012982483945239904968
      150       146 -0.289909685282955909
      150       149 0.072567784642754123992
      150       150 0.65532714887309384544
      150       163 -0.25381961244140360812
      150       164 -0.22717871572061074104
      150       169 0.19423431174388955389
      150       170 -0.13386565029008387628
      151       137 -0.0028576294244483575226
      151       138 -0.0018136099443801880805
      151       151 0.71295910429510356288
      151       152 -0.24637278011123053822
      151       153 -0.31636763152090485729
      151       171 -0.39166456554984951932
      151       172 0.2481863900556107172
      152       137 -1.3061966869404691627e-05
      152       138 -0.0014538166882612864241
      152       151 -0.24637278011123053822
      152       152 0.82893156331901340916
      152       153 0.2481994520224823364
      152       154 -0.63325625504116578313
      152       171 -0.0018136099443823488955
      152       172 -0.19215221378968505572
      153       133 -0.021314587728830308028
      153       134 -0.017927951845413781645
      153       137 7.6232408937620367101e-06
      153       138 0.0018005841097505112351
      153       151 -0.31636763152090485729
      153       152 0.2481994520224823364
      153       153 1.3537981552064526358
      153       154 -0.1322194336101636114
      153       159 -0.15139268655907681116
      153       160 -0.08549872448758023824
      153       171 -0.18734505090733588606
      153       172 -0.25158399244864704247
      153       173 -0.6696101631869016968
      153       174 0.23723006625957226978
      154       133 -0.00064530526596126049077
      154       134 -0.012341941642337503002
      154       137 1.2886030969853446635e-05
      154       138 2.8530304133074999571e-05
      154       152 -0.63325625504116578313
      154       153 -0.1322194336101636114
      154       154 1.5473442725536772357
      154       159 0.14720577903423662236
      154       160 -0.48590049329426737712
      154       171 -0.25158396946837080499
      154       172 -0.10305663471538682729
      154       173 0.23723004327928948198
      154       174 -0.30504181962035636921
      155       131 -0.023178005760751924785
      155       132 -0.014574122257624624877
      155       143 -0.037402709703020481369
      155       144 0.066433407827919815913
      155       155 1.3026368915923229874
      155       156 -0.062003564777827487042
      155       157 -0.084304437877544491364
      155       158 -0.095684908782246724801
      155       161 -0.1346798252653273742
      155       162 0.055583564276254895931
      155       165 -0.61527189050919928182
      155       166 0.25934520687661638538
      155       179 -0.39921080103980188802
      155       180 -0.2090995831630922952
      156       131 -0.00044220659029841420835
      156       132 -0.01236237898414703669
      156       143 0.0025140750206066441591
      156       144 -0.039648572333010369262
      156       155 -0.062003564777827487042
      156       156 1.368028056995788555
      156       157 0.14013594595136841248
      156       158 -0.38520032657646846586
      156       161 -0.13044987331733257085
      156       162 -0.49422089795503693077
      156       165 0.25934520687658740856
      156       166 -0.34371651172934769569
      156       179 -0.20909958316310386928
      156       180 -0.084290147981099378116
      157       131 -0.0055918042749085539525
      157       132 0.014056559715568708174
      157       139 -0.0048642472508246808321
